millis,stamp,datetime,light
999, 946684800, 01/01/2000 00:00:00, 1774
1999, 946684800, 01/01/2000 00:00:00, 1767
3000, 946684800, 01/01/2000 00:00:00, 1738
3998, 946684800, 01/01/2000 00:00:00, 1401
5000, 946684800, 01/01/2000 00:00:00, 3239
5998, 946684800, 01/01/2000 00:00:00, 5661
6999, 946684800, 01/01/2000 00:00:00, 5586
7999, 946684800, 01/01/2000 00:00:00, 5641
8999, 946684800, 01/01/2000 00:00:00, 5293
10000, 946684800, 01/01/2000 00:00:00, 4336
10999, 946684800, 01/01/2000 00:00:00, 3364
12000, 946684800, 01/01/2000 00:00:00, 3699
12999, 946684800, 01/01/2000 00:00:00, 4311
14000, 946684800, 01/01/2000 00:00:00, 3695
14998, 946684800, 01/01/2000 00:00:00, 3744
16000, 946684800, 01/01/2000 00:00:00, 3358
16999, 946684800, 01/01/2000 00:00:00, 2925
17999, 946684800, 01/01/2000 00:00:00, 3074
19000, 946684800, 01/01/2000 00:00:00, 2799
19999, 946684800, 01/01/2000 00:00:00, 3255
21000, 946684800, 01/01/2000 00:00:00, 3270
21998, 946684800, 01/01/2000 00:00:00, 3194
23000, 946684800, 01/01/2000 00:00:00, 7044
23998, 946684800, 01/01/2000 00:00:00, 6084
24998, 946684800, 01/01/2000 00:00:00, 5468
26000, 946684800, 01/01/2000 00:00:00, 6208
26999, 946684800, 01/01/2000 00:00:00, 6768
28000, 946684800, 01/01/2000 00:00:00, 7110
28999, 946684800, 01/01/2000 00:00:00, 7214
30000, 946684800, 01/01/2000 00:00:00, 7088
30999, 946684800, 01/01/2000 00:00:00, 5260
31998, 946684800, 01/01/2000 00:00:00, 4220
32999, 946684800, 01/01/2000 00:00:00, 4010
33998, 946684800, 01/01/2000 00:00:00, 4165
34999, 946684800, 01/01/2000 00:00:00, 5337
36000, 946684800, 01/01/2000 00:00:00, 5935
37000, 946684800, 01/01/2000 00:00:00, 5886
37999, 946684800, 01/01/2000 00:00:00, 5860
39000, 946684800, 01/01/2000 00:00:00, 5766
40000, 946684800, 01/01/2000 00:00:00, 5880
40999, 946684800, 01/01/2000 00:00:00, 5935
41999, 946684800, 01/01/2000 00:00:00, 5995
43000, 946684800, 01/01/2000 00:00:00, 6038
43999, 946684800, 01/01/2000 00:00:00, 6135
44999, 946684800, 01/01/2000 00:00:00, 6193
46000, 946684800, 01/01/2000 00:00:00, 6243
46999, 946684800, 01/01/2000 00:00:00, 6274
47998, 946684800, 01/01/2000 00:00:00, 6831
48998, 946684800, 01/01/2000 00:00:00, 6894
49998, 946684800, 01/01/2000 00:00:00, 7003
50999, 946684800, 01/01/2000 00:00:00, 6288
51998, 946684800, 01/01/2000 00:00:00, 5825
53000, 946684800, 01/01/2000 00:00:00, 5400
53999, 946684800, 01/01/2000 00:00:00, 5335
55000, 946684800, 01/01/2000 00:00:00, 4926
56000, 946684800, 01/01/2000 00:00:00, 4822
56999, 946684800, 01/01/2000 00:00:00, 5025
58000, 946684800, 01/01/2000 00:00:00, 5192
58999, 946684800, 01/01/2000 00:00:00, 5202
59999, 946684800, 01/01/2000 00:00:00, 4991
60998, 946684800, 01/01/2000 00:00:00, 5317
62000, 946684800, 01/01/2000 00:00:00, 4779
62999, 946684800, 01/01/2000 00:00:00, 5043
63998, 946684800, 01/01/2000 00:00:00, 5052
64999, 946684800, 01/01/2000 00:00:00, 4926
65998, 946684800, 01/01/2000 00:00:00, 4638
66999, 946684800, 01/01/2000 00:00:00, 4550
67998, 946684800, 01/01/2000 00:00:00, 4470
68999, 946684800, 01/01/2000 00:00:00, 3521
69999, 946684800, 01/01/2000 00:00:00, 3913
71000, 946684800, 01/01/2000 00:00:00, 3895
72000, 946684800, 01/01/2000 00:00:00, 3831
